source_id,year,modality,species,cohort_size,label_linkage,image_access,license_status,training_status,priority,next_action,notes
usm-lct-observational-cohort-2025-2026,2026,contact-LCT,human,"108 planned; 42 completed at review submission","preliminary cancer/noncancer performance; pathology/reference standard not uniformly biopsy-confirmed at interim stage",underlying images not public,PRIVATE_RESEARCH_DATA,DATA_ACCESS_REQUIRED,VERY_HIGH,"request de-identified RGB thermograms + case-level reference standard + TLC/device/acquisition metadata from USM investigators","2026 review reports interim sensitivity 72.2% and specificity 58.3%; this appears to be the most actionable target-domain cohort found so far"
usm-radiology-dissertation-nor-hafizzi-2025,2025,contact-LCT,human,preliminary study cohort size not recovered publicly,"study title explicitly evaluates sensitivity/specificity for breast cancer at Hospital USM",dissertation listed by USM Radiology; full thesis/data not found publicly,RIGHTS_AND_DATA_ACCESS_REQUIRED,DATA_ACCESS_REQUIRED,VERY_HIGH,"request dissertation/data through Dr Nor Hafizzi Mohamad / supervisor Dr Bazli Md Yusoff / USM Radiology","likely overlaps or is closely related to the ongoing USM LCT program; deduplicate subjects before any combined use"
usm-transmec-case-series-2024,2024,contact-LCT,human,case series,"LCT compared with conventional imaging and histopathological examination",conference abstract public; underlying images not public,ABSTRACT_ACCESS_ONLY,DATA_ACCESS_REQUIRED,HIGH,"request original case-series thermograms and case mapping from Ainnur Bazilah Mohd Sha'ari and USM team","supports existence of case-linked LCT material before the 2026 review; check overlap with the 42-case cohort"
malaysia-lct-review-observed-2026,2026,contact-LCT,human,2 observed case figures,"one biopsy-confirmed invasive carcinoma; one biopsy-confirmed benign fibrocystic change",article figures,CC-BY-4.0,REFERENCE_ONLY,HIGH,"preserve attribution and figure credit; seek underlying cohort data from authors","review states no dataset was generated/analyzed for the review; observed figures are exemplars not a training cohort"
braster-prospective-pilot-2020,2020,contact-LCT,human,274 enrolled / 255 analyzed,"histology-linked cancer/noncancer study with control population",article figures only found,CC-BY-NC-4.0,NONCOMMERCIAL_REFERENCE_ONLY,HIGH,"request de-identified raw thermograms and case labels from corresponding investigators/Braster successor","no public raw image dataset found; do not use article figures in commercial model without permission"
bothmann-liquid-crystal-breast-1986,1986,contact-LCT,human,19461 examined,"2002 biopsy/histology; 500 aspiration cytology; malignant/benign performance reported",abstract/bibliographic access; raw images not found,RIGHTS_UNCLEAR,ARCHIVAL_DATA_HUNT,HIGH,"locate journal/archive or institutional collection and determine whether case-linked plates/photographs survive","very large historical LCT cohort; PubMed reports 67.8% malignant and 70.6% benign accuracy, but no reusable raw dataset found"
bothmann-carcioma-comparison-1976,1976,contact-LCT,human,132 carcinoma cases,"microscopic/cytomorphological assessment compared with liquid-crystal thermography",abstract/bibliographic access; raw images not found,RIGHTS_UNCLEAR,ARCHIVAL_DATA_HUNT,HIGH,"locate German journal/institutional archive and image rights","reported dependence on tumor diameter and vascularisation; possible case-level research archive"
tricoire-plate-thermography-300-1970,1970,contact-LCT,human,300 breast-disease patients,"mixed breast diseases; diagnostic evaluation",bibliographic access,RIGHTS_RESTRICTED_OR_UNKNOWN,ARCHIVAL_DATA_HUNT,HIGH,"locate French journal/Gustave-Roussy archival material and rights","early plate-LCT cohort; promising lead for historical negatives/benign patterns if images and case mapping survive"
kucera-plate-lct-1976,1976,contact-LCT,human,319 unselected patients,"281 also mammography; suspected malignancies received cytology/histology",abstract/bibliographic access; raw images not found,RIGHTS_UNCLEAR,ARCHIVAL_DATA_HUNT,HIGH,"locate Vienna institutional/journal archive and determine image access","unselected cohort may contain useful benign/normal controls if subject-linked thermograms exist"
davison-lct-1972,1972,contact-LCT,human,"105 abnormal; 17 histologically proven carcinoma; 197 apparently healthy","histology for carcinoma subset; healthy pattern cohort",free-to-access article,Copyright American Cancer Society,RIGHTS_RESTRICTED_REFERENCE,HIGH,"inspect figures for methodology only; seek reuse/data permission or archival source","free access is not an open reuse license"
bichara-thesis-1975,1975,contact-LCT,human,75 volunteer women,"positive thermograms followed by xeroradiography; thesis also discusses pathological tests in separate interpretation work",Google Books/Docsity previews,RIGHTS_UNCLEAR,RIGHTS_REVIEW,HIGH,"locate Oregon State archival copy and determine thesis digitization/reuse terms","valuable comparative thin-film/direct-spray/IR figures; do not treat preview images as trainable"
stevens-rogers-mouse-lct-1971,1971,contact-LCT,mouse,"30 tumor-bearing mice: 20 C3H mammary carcinoma + 10 A/Jax hepatoma","experimentally transplanted tumors; normal tissue used for comparison",publisher preview,Copyright SAGE,RIGHTS_RESTRICTED_REFERENCE,VERY_HIGH,"seek author/institution/archive permission or lawful data source; use methods only meanwhile","closest historical modality/species match to client; no open raw image dataset found"
moskowitz-mastopathy-lct-1981,1981,contact-LCT,human,not established here,"study compared proliferative disorders and clinically/radiologically normal volunteers",publisher article,Copyright RSNA,RIGHTS_RESTRICTED_REFERENCE,MEDIUM,"use as negative evidence and pursue data only if archival access exists","reported limited discrimination; useful against overfitting simplistic hot=malignant assumptions"
sforza-contact-thermography-1991,1991,contact-LCT,human,>12000 clinical experience reported,clinical/pathology review context,bibliographic/article access,RIGHTS_UNCLEAR,METADATA_ONLY,MEDIUM,"locate full article/archives; verify whether case-linked thermograms exist","large experience but no public downloadable labelled dataset found"
client-mice-2026,2026,contact-LCT,mouse,9 images,"all experimentally tumor-bearing; tumor-size mapping pending",private client files,PRIVATE_CLIENT_DATA,FROZEN_TARGET_EVAL,VERY_HIGH,"obtain case-to-tumor-size mapping and genuine same-device control/negative mice when available","do not synthesize negatives; preserve client TLC/device provenance"
